ID,Gender,PHI,MHI,FI,LD,SCI,UE,TI,APM
1711182,m,1,0,1,1,0,1,0,5
2312321,f,0,0,1,1,1,1,0,4
1510645,f,1,1,0,0,1,0,1,1
2311271,m,1,0,1,0,1,1,1,5
2211591,m,1,1,0,0,1,0,0,3
2312045,m,0,0,1,0,0,0,1,4
2211247,m,1,1,0,0,1,1,1,4
1912829,f,0,0,1,1,0,1,1,5
2013054,f,0,1,0,1,1,0,0,1
1621138,m,0,0,1,1,1,1,1,1
1711471,m,1,0,0,0,0,0,0,2
1911511,f,1,1,1,0,1,0,1,3
2211362,f,0,0,1,1,0,1,1,4
1611593,f,0,0,1,0,1,0,0,1
2311790,m,1,0,0,1,0,0,1,5
2311024,m,0,1,0,0,1,1,1,4
2211409,m,1,0,0,1,0,0,1,3
2311457,m,0,0,0,0,1,0,0,4
2211480,m,1,1,1,1,1,1,1,9
2211449,m,1,0,0,0,1,1,0,2
2311028,f,1,1,1,1,1,1,1,9
1711321,f,0,1,0,0,1,0,1,2
1712066,f,0,1,0,1,1,0,0,5
2211220,m,0,0,1,0,0,1,0,3
2211508,m,0,1,0,0,1,0,1,5
2211172,m,1,0,1,0,1,0,1,3
2211181,m,0,1,0,1,0,1,0,4
1721222,f,1,0,1,0,1,0,1,5
2013273,m,0,1,0,1,0,1,0,3
2311911,m,1,0,1,0,1,0,1,2
2211290,f,0,1,0,1,0,1,0,4
2311800,m,1,0,1,0,1,0,1,3
1721145,m,0,1,0,1,0,1,0,5
2311049,m,0,1,0,1,0,1,0,3
2311827,f,1,0,1,0,1,0,1,4
2312276,m,0,1,0,1,0,1,0,5
1635016,m,1,0,1,0,1,0,1,3
2013334,f,0,1,0,1,0,1,0,4
2211207,f,1,0,1,0,1,0,1,3
2311855,m,0,1,0,1,0,1,0,1
2211460,f,0,1,0,0,1,0,0,2
1711211,m,1,1,0,1,0,0,0,3
2311465,m,1,0,1,1,0,1,1,4
1620610,m,0,1,0,1,0,1,0,1
2211458,f,1,0,1,0,1,0,1,5
2311414,m,0,1,0,1,0,1,0,6
1330275,m,1,0,1,0,1,0,1,3
2211452,m,0,1,0,1,0,1,0,4
2312053,m,1,0,1,0,1,0,1,3
1310671,m,0,1,0,1,0,1,0,1
2132179,f,0,1,0,0,1,0,0,2
2211447,m,1,1,0,1,0,0,0,3
2311213,m,1,0,1,1,0,1,1,4
2312130,m,0,1,0,1,0,1,0,1
2312270,m,0,0,0,1,1,0,1,5
2311980,f,1,0,1,1,0,1,0,5
2312069,f,0,0,1,1,1,1,0,4
2211099,m,1,1,0,0,1,0,1,1
1712000,f,1,0,1,0,1,1,1,5
2311849,m,1,1,0,0,1,0,0,3
2312133,m,0,0,1,0,0,0,1,4
2311354,f,1,1,0,0,1,1,1,4
2311974,m,0,0,1,1,0,1,1,5
2312189,f,0,1,0,1,1,0,0,1
1612553,m,0,0,1,1,1,1,1,1
2211253,f,1,0,0,0,0,0,0,2
2312266,m,1,1,1,0,1,0,1,3
1611035,f,0,0,1,1,0,1,1,4
2312088,m,0,0,1,0,1,0,0,1
2211163,f,1,0,0,1,0,0,1,5
2311466,m,0,1,0,0,1,1,1,4
1612344,f,1,0,0,1,0,0,1,3
2211125,m,0,0,0,0,1,0,0,4
1631720,m,1,1,1,1,1,1,1,3
2013209,f,1,0,0,0,1,1,0,2
2211486,m,1,1,1,1,1,1,1,1
2211274,f,0,1,0,0,1,0,1,2
2311950,m,0,1,0,1,1,0,0,1
1811469,m,0,0,1,1,1,1,1,1
1821895,m,1,0,0,0,0,0,0,2
2311460,m,1,1,1,0,1,0,1,3
2211201,m,0,0,1,1,0,1,1,4
2311938,m,0,0,1,0,1,0,0,1
2211393,m,1,0,0,1,0,0,1,5
2211065,f,0,1,0,0,1,1,1,4
2311984,m,1,0,0,1,0,0,1,3
2312097,f,0,1,0,1,0,1,0,5
2311816,m,1,0,1,0,1,0,1,3
2211513,m,0,1,0,1,0,1,0,4
2311442,m,1,0,1,0,1,0,1,3
2311358,m,0,1,0,1,0,1,0,1
1611409,m,0,1,0,0,1,0,0,2
2012121,m,1,1,0,1,0,0,0,3
2311286,f,1,0,1,1,0,1,1,4
2311346,m,0,1,0,1,0,1,0,1
2211130,m,1,0,1,0,1,0,1,5
2312085,m,0,1,0,1,0,1,0,6
2311422,f,1,0,1,0,1,0,1,3
2311345,m,1,1,0,0,1,0,0,3
2211093,m,0,0,1,0,0,0,1,4
1431225,f,1,1,0,0,1,1,1,4
2311370,m,0,0,1,1,0,1,1,5
2325571,f,0,1,0,1,1,0,0,1
2211502,m,0,0,1,1,1,1,1,1
2013946,f,1,0,0,0,0,0,0,2
2211317,f,1,1,1,0,1,0,1,3
2311857,f,0,0,1,1,0,1,1,4
1711406,m,0,0,1,0,1,0,0,1
2311927,f,1,0,0,1,0,0,1,5
1611063,f,0,1,0,0,1,1,1,4
2312277,f,1,0,0,1,0,0,1,3
1721542,m,0,0,0,0,1,0,0,4
1620740,f,0,1,0,1,0,0,1,1
2131615,m,0,1,0,0,1,0,0,4
2311048,f,0,0,0,1,0,1,0,5
2312264,f,0,1,1,1,1,0,0,6
2312064,f,1,0,1,1,0,0,0,2
2011609,m,1,1,0,0,0,1,0,5
2013820,m,1,1,1,1,0,1,0,1
2232865,m,0,0,0,0,0,0,0,4
2311195,f,0,1,0,1,0,1,1,1
2012932,f,1,0,1,1,1,0,1,5
2312209,f,0,1,0,0,1,1,0,4
1611264,f,1,0,0,1,1,1,1,3
1430413,m,0,1,1,1,0,0,0,4
2311277,m,1,0,0,1,0,1,0,1
2311191,f,0,1,0,0,1,0,1,4
2211369,f,1,0,0,0,0,1,0,1
2211229,m,0,0,1,0,1,0,0,5
2211574,m,1,0,1,0,0,1,1,6
1310070,f,0,0,0,0,1,1,1,3
2211063,f,1,0,1,1,0,0,0,3
2311865,m,1,1,0,1,1,0,1,4
1631893,m,0,1,1,0,0,1,1,4
2211444,f,1,1,1,1,1,0,1,5
2312294,m,0,1,1,1,1,1,1,1
1831780,m,0,0,0,0,0,0,0,1
1520077,m,1,1,0,1,0,1,0,2
2312138,f,0,1,1,0,1,1,1,3
2211273,m,0,1,0,1,0,0,0,4
2011851,m,0,0,1,0,0,1,1,1
2312220,f,1,0,0,1,1,1,0,5
2311034,m,0,0,1,0,0,1,1,4
2211340,m,0,0,0,1,0,0,0,3
1921217,m,1,0,1,0,0,1,1,4
2211560,m,1,0,0,1,0,0,0,1
2312250,m,0,0,1,0,1,0,1,4
2211167,f,1,1,1,1,0,0,1,1
2012897,f,0,1,1,0,0,0,1,3
2311477,m,1,0,0,0,1,0,0,4
2211182,m,1,1,1,0,1,0,1,3
2211489,m,0,0,0,0,0,0,0,2
1420098,m,0,0,1,1,1,1,0,6
2312159,m,0,1,0,1,1,0,0,2
2311367,f,0,1,1,0,0,0,1,5
2312287,f,0,1,1,1,1,0,1,1
2312125,m,1,0,0,0,0,0,0,4
2312050,m,1,0,1,0,1,0,1,1
2211537,m,0,1,0,1,1,1,0,5
2132492,m,1,0,1,0,0,1,1,4
2211333,m,0,1,0,0,1,1,1,3
2325577,m,0,0,1,1,1,0,0,4
1320399,f,1,1,0,0,1,0,1,1
2022412,f,0,0,1,0,0,1,0,4
2311469,m,0,1,0,0,0,0,1,1
2311352,m,1,0,0,1,0,1,0,5
2311396,m,0,1,0,1,0,0,1,6
1831099,f,0,0,0,0,0,1,1,3
1721053,m,0,1,0,1,1,0,0,3
